title,brand,category,actual_price,discount_price,rating,rating_count
Smartphone with AMOLED Display,Boat,Laptop,50735,47879,2.9,19414
Smart Fitness Watch,HP,Smartphone,10610,9857,3.5,1081
Portable Bluetooth Speaker,Boat,Laptop,64265,61671,2.8,11517
High Resolution Monitor,Boat,Smartwatch,70222,67802,1.8,16876
Android Tablet,Apple,Headphones,12542,9211,3,4764
4K Action Camera,LG,Speaker,9247,4487,3.1,8266
Wireless Bluetooth Headphones,Apple,Monitor,71766,71388,4.2,11183
Smartphone with AMOLED Display,Mi,Monitor,62116,57838,3.9,19744
Gaming Laptop,Sony,Monitor,49085,44105,3.7,16712
High Resolution Monitor,Sony,Speaker,807,637,1.5,12877
Portable Bluetooth Speaker,JBL,Monitor,67272,66258,3.9,9982
High Resolution Monitor,Sony,Headphones,27451,23177,3,8968
Android Tablet,Apple,Speaker,11918,8193,4.6,14639
Laptop with SSD Storage,Dell,Monitor,74586,72460,4.7,4674
Wireless Bluetooth Headphones,HP,Speaker,16422,16040,1.2,4316
Wireless Bluetooth Headphones,Apple,Smartwatch,7654,4236,4.3,15314
Gaming Laptop,Apple,Tablet,31279,29913,1.2,9695
Laptop with SSD Storage,OnePlus,Tablet,79676,78430,2.5,15814
Smart Fitness Watch,HP,Headphones,53074,49854,3.2,19709
Noise Cancelling Earbuds,Mi,Camera,5337,3858,1.6,8379
Smartphone with AMOLED Display,Sony,Smartphone,28933,28528,4,1214
Wireless Bluetooth Headphones,HP,Monitor,24795,20511,1,11638
4K Action Camera,Sony,Smartphone,64850,63274,1.7,10713
Wireless Bluetooth Headphones,JBL,Speaker,36783,32836,3.3,15977
High Resolution Monitor,HP,Smartphone,73673,73595,3.9,12071
Wireless Bluetooth Headphones,Sony,Headphones,34369,33306,4.7,3136
Wireless Bluetooth Headphones,Mi,Headphones,7670,4918,3.8,6618
Noise Cancelling Earbuds,Samsung,Laptop,72247,71370,3.7,5265
Noise Cancelling Earbuds,Boat,Tablet,39433,34937,2.6,7965
Portable Bluetooth Speaker,Boat,Monitor,992,694.4,1,9597
Smart Fitness Watch,Mi,Laptop,29226,28878,1.5,8708
4K Action Camera,OnePlus,Smartphone,74284,72369,3.1,6569
Wireless Bluetooth Headphones,Samsung,Camera,43690,39624,3.7,17875
Wireless Bluetooth Headphones,JBL,Laptop,49893,47732,2.7,5213
Smartphone with AMOLED Display,Mi,Laptop,75909,75105,3.9,11881
Noise Cancelling Earbuds,Boat,Headphones,5509,4690,3.1,4228
4K Action Camera,Boat,Camera,6833,3048,1.3,4409
Gaming Laptop,Boat,Speaker,7511,6223,1.8,590
Portable Bluetooth Speaker,LG,Smartphone,10227,5248,4.4,19440
Smart Fitness Watch,Mi,Laptop,77763,75500,3.9,18590
Laptop with SSD Storage,Apple,Camera,24894,22938,4.6,2708
Smart Fitness Watch,JBL,Tablet,75152,73538,1.5,5981
High Resolution Monitor,Boat,Monitor,78013,76745,5,12221
Wireless Bluetooth Headphones,Sony,Camera,76682,72031,1.8,17131
Portable Bluetooth Speaker,Mi,Tablet,8233,6826,1,13785
High Resolution Monitor,LG,Smartphone,40996,37107,5,6553
4K Action Camera,Mi,Camera,65749,64239,2.1,17881
Laptop with SSD Storage,JBL,Tablet,67916,63881,3.7,1379
Noise Cancelling Earbuds,LG,Camera,6389,4923,1.7,7360
Portable Bluetooth Speaker,JBL,Camera,56848,53945,3.3,3770
Portable Bluetooth Speaker,Mi,Monitor,26423,21517,4.6,19726
Wireless Bluetooth Headphones,Apple,Tablet,8097,3119,2.3,14449
Android Tablet,JBL,Tablet,50313,48835,3.7,9088
Portable Bluetooth Speaker,LG,Laptop,8646,4218,1.8,1546
Smartphone with AMOLED Display,LG,Smartphone,33972,29448,3.5,19510
Laptop with SSD Storage,JBL,Monitor,17953,13610,2.3,6208
Laptop with SSD Storage,Dell,Camera,49856,46744,1.8,16350
Smartphone with AMOLED Display,Mi,Camera,26440,23319,2.3,8875
Gaming Laptop,Dell,Laptop,1484,879,1.7,1295
Smartphone with AMOLED Display,OnePlus,Smartphone,34793,34388,4.6,15861
Smartphone with AMOLED Display,Mi,Headphones,44448,42835,2.6,13973
Laptop with SSD Storage,JBL,Monitor,25146,21596,2,17769
Smart Fitness Watch,Samsung,Laptop,22495,21405,2.8,14481
Laptop with SSD Storage,JBL,Smartphone,5906,3170,2.3,17326
Android Tablet,Dell,Monitor,4256,2979.2,4,3280
Wireless Bluetooth Headphones,Apple,Camera,16855,12030,4.9,13597
High Resolution Monitor,JBL,Smartphone,18990,16387,2.8,17417
Smart Fitness Watch,JBL,Smartphone,58802,56973,4.4,2786
Noise Cancelling Earbuds,Apple,Speaker,49149,49024,3.3,2233
High Resolution Monitor,JBL,Smartphone,26647,22271,1.6,1620
Wireless Bluetooth Headphones,Boat,Headphones,49356,45987,3.8,3535
Android Tablet,Samsung,Smartphone,64151,61752,3.1,19589
Android Tablet,Sony,Headphones,70511,67688,3.6,2882
Noise Cancelling Earbuds,Samsung,Camera,42150,39838,4.6,16554
Smart Fitness Watch,JBL,Headphones,78845,75566,2.8,9745
Gaming Laptop,Boat,Monitor,28143,25977,4.6,3897
Smartphone with AMOLED Display,Mi,Camera,62620,62178,4,15861
Smart Fitness Watch,JBL,Camera,30093,28935,3,2837
Gaming Laptop,Dell,Headphones,39816,35404,3.4,8599
Android Tablet,Boat,Tablet,18157,17497,2.3,15911
Laptop with SSD Storage,Apple,Laptop,19927,17102,4.9,6721
Wireless Bluetooth Headphones,Boat,Smartwatch,62122,58074,3.7,17063
Noise Cancelling Earbuds,Apple,Tablet,52548,51826,1.2,5487
Wireless Bluetooth Headphones,OnePlus,Smartphone,56098,52371,2.3,15121
4K Action Camera,Sony,Speaker,44416,44336,3.5,236
4K Action Camera,HP,Smartwatch,75618,74168,1.2,11629
Smart Fitness Watch,Boat,Smartphone,28857,24736,1.1,11549
Android Tablet,LG,Tablet,71634,70968,2.8,2423
Android Tablet,Dell,Tablet,75463,70779,2.3,12906
Smartphone with AMOLED Display,JBL,Smartphone,78302,75466,2.8,14988
Smartphone with AMOLED Display,Dell,Camera,42914,41994,2.1,1032
Smartphone with AMOLED Display,Samsung,Smartphone,13020,8774,1.7,6339
Laptop with SSD Storage,HP,Speaker,57908,54254,3.8,2940
High Resolution Monitor,Samsung,Tablet,72395,70933,3.1,12262
Portable Bluetooth Speaker,OnePlus,Smartphone,36192,33403,1.8,19516
High Resolution Monitor,HP,Headphones,77542,76552,2.3,11652
Wireless Bluetooth Headphones,HP,Smartwatch,77906,77516,3.4,4942
High Resolution Monitor,Samsung,Headphones,1224,856.8,1.3,6961
Laptop with SSD Storage,Apple,Speaker,51622,47439,1.6,7730
Wireless Bluetooth Headphones,Samsung,Smartphone,26778,26069,1.3,633
High Resolution Monitor,Dell,Monitor,71342,69259,4.2,6822
Laptop with SSD Storage,Apple,Speaker,46718,45108,4,6487
Portable Bluetooth Speaker,Dell,Camera,62517,59010,4,15131
High Resolution Monitor,OnePlus,Headphones,74062,72356,3.9,19830
Laptop with SSD Storage,JBL,Headphones,12081,9056,3.7,5738
Smartphone with AMOLED Display,Mi,Laptop,5815,4716,2.9,3098
Android Tablet,Apple,Smartphone,36433,35930,3.6,8097
Smartphone with AMOLED Display,OnePlus,Camera,77246,75492,1.2,13136
Android Tablet,LG,Monitor,9395,6561,3.5,5476
Noise Cancelling Earbuds,OnePlus,Headphones,20770,19902,4.1,8253
Noise Cancelling Earbuds,Samsung,Headphones,43429,38511,3,18201
Noise Cancelling Earbuds,Samsung,Camera,8831,8769,2.4,4887
Portable Bluetooth Speaker,Mi,Speaker,37338,33309,2.1,18982
Smartphone with AMOLED Display,OnePlus,Speaker,42974,42004,3.6,11643
Android Tablet,Sony,Smartphone,30131,25161,3.8,9492
Laptop with SSD Storage,JBL,Tablet,57474,55006,4.5,2653
Wireless Bluetooth Headphones,Samsung,Laptop,11579,10215,2.4,1454
Laptop with SSD Storage,Mi,Headphones,38520,34793,4.1,17522
Wireless Bluetooth Headphones,JBL,Tablet,60910,58843,3.2,5807
4K Action Camera,OnePlus,Tablet,53019,51741,4.5,3192
Laptop with SSD Storage,OnePlus,Laptop,53351,48509,3.1,12812
High Resolution Monitor,HP,Tablet,72313,69829,3.1,15775
High Resolution Monitor,Mi,Tablet,56952,54034,3.3,10402
Smart Fitness Watch,Samsung,Speaker,65824,63259,4,13074
Smartphone with AMOLED Display,Sony,Speaker,6770,5282,4.9,15245
Wireless Bluetooth Headphones,OnePlus,Smartwatch,67898,63684,1.3,3759
Wireless Bluetooth Headphones,Sony,Monitor,42098,38505,1.2,19413
Smartphone with AMOLED Display,OnePlus,Smartphone,53773,50548,4.8,15683
Portable Bluetooth Speaker,Samsung,Tablet,20180,18349,3.1,12460
Smart Fitness Watch,JBL,Smartwatch,44739,42426,3.5,16447
Portable Bluetooth Speaker,Boat,Monitor,14608,12589,2.9,15460
Portable Bluetooth Speaker,JBL,Smartwatch,35381,35120,1.4,17729
Portable Bluetooth Speaker,OnePlus,Smartwatch,75542,74985,4.1,17358
Smartphone with AMOLED Display,Dell,Smartphone,50683,50302,4,9814
Portable Bluetooth Speaker,Boat,Smartphone,10137,9537,2.2,13890
High Resolution Monitor,Boat,Camera,52451,51460,2.2,19714
Noise Cancelling Earbuds,Sony,Laptop,37124,36347,4.4,1740
4K Action Camera,Mi,Laptop,33373,30461,1.3,11218
Wireless Bluetooth Headphones,Sony,Camera,26599,23306,4.5,6055
Wireless Bluetooth Headphones,Sony,Camera,59161,58463,2,1954
4K Action Camera,Dell,Speaker,30363,27576,3.4,16663
Smartphone with AMOLED Display,JBL,Monitor,69753,66956,4.7,18775
Laptop with SSD Storage,JBL,Smartwatch,68772,67713,3.7,9232
Smartphone with AMOLED Display,LG,Tablet,14806,13206,2.7,6439
Wireless Bluetooth Headphones,OnePlus,Camera,26326,25473,3.8,961
Wireless Bluetooth Headphones,Dell,Headphones,27972,23842,2.4,17601
4K Action Camera,LG,Laptop,38717,34358,2.1,6007
Portable Bluetooth Speaker,Samsung,Camera,52713,48399,5,17776
Smartphone with AMOLED Display,OnePlus,Headphones,65366,61915,4,2076
Android Tablet,OnePlus,Headphones,59513,55222,3.6,6196
4K Action Camera,HP,Headphones,51271,46610,2.4,16292
High Resolution Monitor,HP,Speaker,27581,24370,1.2,10315
Wireless Bluetooth Headphones,Apple,Speaker,28391,23793,1.1,11785
4K Action Camera,Apple,Tablet,50794,46589,3.2,8142
Smartphone with AMOLED Display,Sony,Tablet,18910,18333,4,6260
Wireless Bluetooth Headphones,Samsung,Headphones,1379,965.3,3.1,15534
Laptop with SSD Storage,Boat,Monitor,47051,45978,4.4,4841
4K Action Camera,Boat,Speaker,55732,51948,1.1,13384
Smart Fitness Watch,HP,Smartwatch,31251,30769,2.5,17443
Wireless Bluetooth Headphones,HP,Headphones,78591,77365,1.9,1922
Smartphone with AMOLED Display,HP,Smartwatch,60172,59722,2.8,11991
Noise Cancelling Earbuds,Dell,Smartwatch,7535,5381,1.3,6101
Android Tablet,Mi,Headphones,63012,59912,4.8,2473
Gaming Laptop,Apple,Laptop,21773,19490,1.9,8108
Portable Bluetooth Speaker,Dell,Monitor,67867,65372,4.7,15450
Gaming Laptop,JBL,Headphones,32530,27780,2.7,10043
Smartphone with AMOLED Display,Boat,Tablet,69176,66291,4.9,16210
High Resolution Monitor,OnePlus,Headphones,40944,38381,3.2,4549
High Resolution Monitor,Apple,Speaker,48964,47141,4.7,594
Noise Cancelling Earbuds,LG,Headphones,45503,44357,1,16890
Portable Bluetooth Speaker,JBL,Laptop,66977,65999,4,4889
Smart Fitness Watch,Apple,Speaker,25725,23724,4.6,8212
Noise Cancelling Earbuds,Dell,Tablet,70106,68083,1.6,17783
Gaming Laptop,Samsung,Smartphone,43114,41510,1.4,3201
Noise Cancelling Earbuds,OnePlus,Smartphone,70519,67691,2.7,7854
Gaming Laptop,Apple,Smartwatch,49946,45475,4.7,6763
Wireless Bluetooth Headphones,Mi,Monitor,40184,39140,3.2,10653
High Resolution Monitor,HP,Smartwatch,69622,68960,3.1,5190
Wireless Bluetooth Headphones,HP,Laptop,21950,19307,1.6,13715
Android Tablet,OnePlus,Camera,9490,8845,1,5681
Portable Bluetooth Speaker,Dell,Tablet,38496,37605,4.2,3678
Smart Fitness Watch,HP,Monitor,39749,35260,1.4,14102
Gaming Laptop,Apple,Tablet,39961,39053,3.5,16720
Smart Fitness Watch,LG,Smartphone,30009,29515,4.7,1667
Gaming Laptop,Boat,Smartwatch,75479,73641,1.8,17293
Smartphone with AMOLED Display,Boat,Tablet,10243,5876,3.7,8204
Noise Cancelling Earbuds,JBL,Smartphone,43540,40036,1.3,5122
Android Tablet,Sony,Laptop,46060,42058,3.4,11217
High Resolution Monitor,Samsung,Laptop,21342,16605,1.7,15583
Gaming Laptop,OnePlus,Camera,44194,43114,3.9,973
Smart Fitness Watch,JBL,Tablet,7169,5824,2.2,1408
Android Tablet,Sony,Camera,61378,59265,2.9,10135
Laptop with SSD Storage,Dell,Speaker,57059,55562,3.4,18672
Laptop with SSD Storage,Mi,Monitor,44606,42511,1.7,8738
Wireless Bluetooth Headphones,Mi,Tablet,55671,51002,4,14349
High Resolution Monitor,Samsung,Laptop,21218,18318,2.2,1218
Smartphone with AMOLED Display,HP,Smartwatch,28679,24805,3.6,17804
Smart Fitness Watch,Apple,Smartphone,3262,1144,1.6,3377
Noise Cancelling Earbuds,JBL,Headphones,14151,10340,3.8,10964
Noise Cancelling Earbuds,JBL,Camera,46047,43722,1.5,4098
Smart Fitness Watch,OnePlus,Headphones,52649,50791,2.7,19122
Portable Bluetooth Speaker,OnePlus,Tablet,71132,69771,2,7619
Smartphone with AMOLED Display,Mi,Smartwatch,56656,52551,4,11939
Android Tablet,Mi,Camera,15045,12544,2,18226
Gaming Laptop,LG,Headphones,6030,4891,4.5,19200
Portable Bluetooth Speaker,LG,Monitor,14221,12499,4.6,16878
Gaming Laptop,HP,Smartwatch,71438,67713,1.8,6560
Gaming Laptop,LG,Smartphone,19323,14741,3.5,5510
Portable Bluetooth Speaker,Apple,Monitor,45649,40675,1.4,3444
Wireless Bluetooth Headphones,Apple,Smartwatch,42279,37875,2.6,
Laptop with SSD Storage,JBL,Speaker,23137,21084,3.9,12429
Gaming Laptop,Boat,Camera,15297,11049,3.6,7253
Portable Bluetooth Speaker,Apple,Laptop,45339,40425,3.5,13775
Portable Bluetooth Speaker,Sony,Smartphone,21223,20049,2.1,45
4K Action Camera,Mi,Tablet,9176,7905,2.5,15597
Wireless Bluetooth Headphones,OnePlus,Monitor,61273,58363,1.4,2057
High Resolution Monitor,LG,Monitor,3187,864,3.9,663
4K Action Camera,JBL,Headphones,64023,60983,3,4668
4K Action Camera,Samsung,Camera,42722,40162,3.8,18413
Smart Fitness Watch,OnePlus,Tablet,51713,51427,2,5717
Laptop with SSD Storage,Sony,Laptop,3141,1947,2.3,2696
Portable Bluetooth Speaker,LG,Smartwatch,29056,25753,2.3,13200
Laptop with SSD Storage,Sony,Laptop,71876,68044,1.1,16101
Smartphone with AMOLED Display,Mi,Camera,10604,9788,2.4,8831
Smart Fitness Watch,Mi,Camera,30641,27910,4.2,19047
High Resolution Monitor,HP,Speaker,5058,2343,4.6,19129
Laptop with SSD Storage,JBL,Speaker,17310,15501,3.1,5004
Noise Cancelling Earbuds,OnePlus,Laptop,61058,57517,2.8,13156
Gaming Laptop,Dell,Smartwatch,31958,29093,1.1,4402
Smartphone with AMOLED Display,Dell,Laptop,49302,45739,4.5,10787
Wireless Bluetooth Headphones,OnePlus,Camera,1675,1130,1.1,14662
High Resolution Monitor,Samsung,Camera,22392,19162,4.8,19811
Smartphone with AMOLED Display,JBL,Headphones,790,553,3,5912
Gaming Laptop,Sony,Speaker,4029,1907,2.4,394
Smart Fitness Watch,Samsung,Tablet,6274,5887,4.7,14635
Gaming Laptop,Boat,Tablet,21698,17699,1.1,3597
4K Action Camera,OnePlus,Tablet,34950,31792,3.3,10524
Gaming Laptop,Sony,Headphones,21592,19725,3.2,329
4K Action Camera,Dell,Smartphone,3459,3273,1.9,17156
Smart Fitness Watch,Apple,Tablet,63066,60461,2.7,1645
Android Tablet,HP,Camera,17365,12900,3.6,18171
4K Action Camera,Dell,Headphones,21938,20973,3.9,9815
Wireless Bluetooth Headphones,JBL,Laptop,1373,961.1,1,17383
Gaming Laptop,Mi,Speaker,46811,44661,4.7,1848
Gaming Laptop,Apple,Speaker,29620,26663,1.7,1561
Wireless Bluetooth Headphones,HP,Smartwatch,70176,67212,1.9,773
Noise Cancelling Earbuds,HP,Laptop,35224,33192,2.1,7311
Portable Bluetooth Speaker,Boat,Smartwatch,41034,37114,1.2,15203
Android Tablet,Boat,Headphones,68416,63838,1.5,18187
High Resolution Monitor,LG,Monitor,40325,36708,4.9,9290
4K Action Camera,Dell,Tablet,2459,1411,2.3,2050
Wireless Bluetooth Headphones,Dell,Smartphone,49240,47043,1.5,17131
Smart Fitness Watch,Dell,Laptop,79736,74992,1.4,3973
4K Action Camera,LG,Laptop,77276,76831,3.9,1615
Portable Bluetooth Speaker,Samsung,Laptop,14978,11330,4.4,14550
Smart Fitness Watch,HP,Smartwatch,61375,56815,2,10494
Smartphone with AMOLED Display,Apple,Headphones,47504,46516,1.1,5506
Gaming Laptop,JBL,Laptop,12321,10635,1.9,13054
Smartphone with AMOLED Display,HP,Monitor,7072,4298,1.2,13861
4K Action Camera,Boat,Laptop,67463,64903,1.4,11587
Portable Bluetooth Speaker,Sony,Speaker,74055,69369,2.7,13515
Android Tablet,Mi,Tablet,23764,22065,1.9,5854
4K Action Camera,LG,Smartphone,51437,47697,3.1,16600
Wireless Bluetooth Headphones,OnePlus,Tablet,30532,27047,2,17743
Laptop with SSD Storage,Sony,Speaker,61797,58546,4.8,3774
4K Action Camera,JBL,Speaker,74324,70095,4.6,4927
