Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status (Approved)
LP001068,1,Yes,0,Graduate,No,2799,2253.0,122.0,8,1.0,1,Y
LP001073,1,Yes,2,Not Graduate,No,4226,1040.0,110.0,8,1.0,2,Y
LP001086,1,No,0,Not Graduate,No,1442,0.0,35.0,8,1.0,2,N
LP001087,0,No,2,Graduate,No,3750,2083.0,120.0,8,1.0,1,Y
LP001091,1,Yes,1,Graduate,No,4166,3369.0,201.0,8,1.0,2,N
LP001095,1,No,0,Graduate,No,3167,0.0,74.0,8,1.0,2,N
LP001097,1,No,1,Graduate,Yes,4692,0.0,106.0,8,1.0,0,N
LP001098,1,Yes,0,Graduate,No,3500,1667.0,114.0,8,1.0,1,Y
LP001100,1,No,3+,Graduate,No,12500,3000.0,320.0,8,1.0,0,N
LP001106,1,Yes,0,Graduate,No,2275,2067.0,128.0,8,1.0,2,Y
LP001109,1,Yes,0,Graduate,No,1828,1330.0,100.0,8,0.0,2,N
LP001112,0,Yes,0,Graduate,No,3667,1459.0,144.0,8,1.0,1,Y
LP001114,1,No,0,Graduate,No,4166,7210.0,184.0,8,1.0,2,Y
LP001116,1,No,0,Not Graduate,No,3748,1668.0,110.0,8,1.0,1,Y
LP001119,1,No,0,Graduate,No,3600,0.0,80.0,8,1.0,2,N
LP001120,1,No,0,Graduate,No,1800,1213.0,47.0,8,1.0,2,Y
LP001123,1,Yes,0,Graduate,No,2400,0.0,75.0,8,1.0,2,Y
LP001131,1,Yes,0,Graduate,No,3941,2336.0,134.0,8,1.0,1,Y
LP001136,1,Yes,0,Not Graduate,Yes,4695,0.0,96.0,8,1.0,2,Y
LP001137,0,No,0,Graduate,No,3410,0.0,88.0,8,1.0,2,Y
LP001138,1,Yes,1,Graduate,No,5649,0.0,44.0,8,1.0,2,Y
LP001144,1,Yes,0,Graduate,No,5821,0.0,144.0,8,1.0,2,Y
LP001146,0,Yes,0,Graduate,No,2645,3440.0,120.0,8,0.0,2,N
LP001151,0,No,0,Graduate,No,4000,2275.0,144.0,8,1.0,1,Y
LP001155,0,Yes,0,Not Graduate,No,1928,1644.0,100.0,8,1.0,1,Y
LP001157,0,No,0,Graduate,No,3086,0.0,120.0,8,1.0,1,Y
LP001164,0,No,0,Graduate,No,4230,0.0,112.0,8,1.0,1,N
LP001179,1,Yes,2,Graduate,No,4616,0.0,134.0,8,1.0,2,N
LP001186,0,Yes,1,Graduate,Yes,11500,0.0,286.0,8,0.0,2,N
LP001194,1,Yes,2,Graduate,No,2708,1167.0,97.0,8,1.0,1,Y
LP001195,1,Yes,0,Graduate,No,2132,1591.0,96.0,8,1.0,1,Y
LP001197,1,Yes,0,Graduate,No,3366,2200.0,135.0,8,1.0,0,N
LP001198,1,Yes,1,Graduate,No,8080,2250.0,180.0,8,1.0,2,Y
LP001199,1,Yes,2,Not Graduate,No,3357,2859.0,144.0,8,1.0,2,Y
LP001205,1,Yes,0,Graduate,No,2500,3796.0,120.0,8,1.0,2,Y
LP001206,1,Yes,3+,Graduate,No,3029,0.0,99.0,8,1.0,2,Y
LP001207,1,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,5,0.0,0,N
LP001213,1,Yes,1,Graduate,No,4945,0.0,128.0,8,0.0,0,N
LP001222,0,No,0,Graduate,No,4166,0.0,116.0,8,0.0,1,N
LP001225,1,Yes,0,Graduate,No,5726,4595.0,258.0,8,1.0,1,N
LP001228,1,No,0,Not Graduate,No,3200,2254.0,126.0,5,0.0,2,N
LP001233,1,Yes,1,Graduate,No,10750,0.0,312.0,8,1.0,2,Y
LP001238,1,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,2,1.0,2,Y
LP001241,0,No,0,Graduate,No,4300,0.0,136.0,8,0.0,1,N
LP001243,1,Yes,0,Graduate,No,3208,3066.0,172.0,8,1.0,2,Y
LP001245,1,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,8,1.0,1,Y
LP001248,1,No,0,Graduate,No,3500,0.0,81.0,7,1.0,1,Y
LP001250,1,Yes,3+,Not Graduate,No,4755,0.0,95.0,8,0.0,1,N
LP001253,1,Yes,3+,Graduate,Yes,5266,1774.0,187.0,8,1.0,1,Y
LP001255,1,No,0,Graduate,No,3750,0.0,113.0,9,1.0,2,N
LP001256,1,No,0,Graduate,No,3750,4750.0,176.0,8,1.0,2,N
LP001259,1,Yes,1,Graduate,Yes,1000,3022.0,110.0,8,1.0,2,N
LP001263,1,Yes,3+,Graduate,No,3167,4000.0,180.0,7,0.0,1,N
LP001264,1,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,8,1.0,1,Y
LP001265,0,No,0,Graduate,No,3846,0.0,111.0,8,1.0,1,Y
LP001266,1,Yes,1,Graduate,Yes,2395,0.0,128.0,8,1.0,1,Y
LP001267,0,Yes,2,Graduate,No,1378,1881.0,167.0,8,1.0,2,N
LP001273,1,Yes,0,Graduate,No,6000,2250.0,265.0,8,1.0,1,N
LP001275,1,Yes,1,Graduate,No,3988,0.0,50.0,6,1.0,2,Y
LP001279,1,No,0,Graduate,No,2366,2531.0,136.0,8,1.0,1,Y
LP001280,1,Yes,2,Not Graduate,No,3333,2000.0,99.0,8,1.0,1,Y
LP001282,1,Yes,0,Graduate,No,2500,2118.0,104.0,8,1.0,1,Y
LP001289,1,No,0,Graduate,No,8566,0.0,210.0,8,1.0,2,Y
LP001310,1,Yes,0,Graduate,No,5695,4167.0,175.0,8,1.0,1,Y
LP001316,1,Yes,0,Graduate,No,2958,2900.0,131.0,8,1.0,1,Y
LP001318,1,Yes,2,Graduate,No,6250,5654.0,188.0,5,1.0,1,Y
LP001319,1,Yes,2,Not Graduate,No,3273,1820.0,81.0,8,1.0,2,Y
LP001322,1,No,0,Graduate,No,4133,0.0,122.0,8,1.0,1,Y
LP001325,1,No,0,Not Graduate,No,3620,0.0,25.0,4,1.0,1,Y
LP001326,1,No,0,Graduate,No,6782,0.0,128.0,8,1.0,2,N
LP001327,0,Yes,0,Graduate,No,2484,2302.0,137.0,8,1.0,1,Y
LP001333,1,Yes,0,Graduate,No,1977,997.0,50.0,8,1.0,1,Y
LP001334,1,Yes,0,Not Graduate,No,4188,0.0,115.0,5,1.0,1,Y
LP001343,1,Yes,0,Graduate,No,1759,3541.0,131.0,8,1.0,1,Y
LP001345,1,Yes,2,Not Graduate,No,4288,3263.0,133.0,5,1.0,2,Y
LP001349,1,No,0,Graduate,No,4843,3806.0,151.0,8,1.0,1,Y
LP001350,1,Yes,0,Graduate,No,13650,0.0,128.0,8,1.0,2,Y
LP001356,1,Yes,0,Graduate,No,4652,3583.0,128.0,8,1.0,1,Y
LP001357,1,Yes,0,Graduate,No,3816,754.0,160.0,8,1.0,2,Y
LP001367,1,Yes,1,Graduate,No,3052,1030.0,100.0,8,1.0,2,Y
LP001369,1,Yes,2,Graduate,No,11417,1126.0,225.0,8,1.0,2,Y
LP001370,1,No,0,Not Graduate,No,7333,0.0,120.0,8,1.0,0,N
LP001379,1,Yes,2,Graduate,No,3800,3600.0,216.0,8,0.0,2,N
LP001384,1,Yes,3+,Not Graduate,No,2071,754.0,94.0,9,1.0,1,Y
LP001385,1,No,0,Graduate,No,5316,0.0,136.0,8,1.0,2,Y
LP001387,0,Yes,0,Graduate,No,2929,2333.0,139.0,8,1.0,1,Y
LP001391,1,Yes,0,Not Graduate,No,3572,4114.0,152.0,8,0.0,0,N
LP001392,0,No,1,Graduate,Yes,7451,0.0,128.0,8,1.0,1,Y
LP001398,1,No,0,Graduate,No,5050,0.0,118.0,8,1.0,1,Y
LP001401,1,Yes,1,Graduate,No,14583,0.0,185.0,5,1.0,0,Y
LP001404,0,Yes,0,Graduate,No,3167,2283.0,154.0,8,1.0,1,Y
LP001405,1,Yes,1,Graduate,No,2214,1398.0,85.0,8,1.0,2,Y
LP001421,1,Yes,0,Graduate,No,5568,2142.0,175.0,8,1.0,0,N
LP001422,0,No,0,Graduate,No,10408,0.0,259.0,8,1.0,2,Y
LP001426,1,Yes,0,Graduate,No,5667,2667.0,180.0,8,1.0,0,Y
LP001430,0,No,0,Graduate,No,4166,0.0,44.0,8,1.0,1,Y
LP001431,0,No,0,Graduate,No,2137,8980.0,137.0,8,0.0,1,Y
LP001432,1,Yes,2,Graduate,No,2957,0.0,81.0,8,1.0,1,Y
LP001439,1,Yes,0,Not Graduate,No,4300,2014.0,194.0,8,1.0,0,Y
LP001443,0,No,0,Graduate,No,3692,0.0,93.0,8,1.0,0,Y
LP001448,1,Yes,3+,Graduate,No,23803,0.0,370.0,8,1.0,0,Y
LP001449,1,No,0,Graduate,No,3865,1640.0,128.0,8,1.0,0,Y
LP001451,1,Yes,1,Graduate,Yes,10513,3850.0,160.0,5,0.0,2,N
LP001465,1,Yes,0,Graduate,No,6080,2569.0,182.0,8,1.0,0,N
LP001469,1,No,0,Graduate,Yes,20166,0.0,650.0,9,1.0,2,Y
LP001473,1,No,0,Graduate,No,2014,1929.0,74.0,8,1.0,2,Y
LP001478,1,No,0,Graduate,No,2718,0.0,70.0,8,1.0,1,Y
LP001482,1,Yes,0,Graduate,Yes,3459,0.0,25.0,4,1.0,1,Y
LP001487,1,No,0,Graduate,No,4895,0.0,102.0,8,1.0,1,Y
LP001488,1,Yes,3+,Graduate,No,4000,7750.0,290.0,8,1.0,1,N
LP001489,0,Yes,0,Graduate,No,4583,0.0,84.0,8,1.0,0,N
LP001491,1,Yes,2,Graduate,Yes,3316,3500.0,88.0,8,1.0,2,Y
LP001492,1,No,0,Graduate,No,14999,0.0,242.0,8,0.0,1,N
LP001493,1,Yes,2,Not Graduate,No,4200,1430.0,129.0,8,1.0,0,N
LP001497,1,Yes,2,Graduate,No,5042,2083.0,185.0,8,1.0,0,N
LP001498,1,No,0,Graduate,No,5417,0.0,168.0,8,1.0,2,Y
LP001504,1,No,0,Graduate,Yes,6950,0.0,175.0,5,1.0,1,Y
LP001507,1,Yes,0,Graduate,No,2698,2034.0,122.0,8,1.0,1,Y
LP001508,1,Yes,2,Graduate,No,11757,0.0,187.0,5,1.0,2,Y
LP001514,0,Yes,0,Graduate,No,2330,4486.0,100.0,8,1.0,1,Y
LP001516,0,Yes,2,Graduate,No,14866,0.0,70.0,8,1.0,2,Y
LP001518,1,Yes,1,Graduate,No,1538,1425.0,30.0,8,1.0,2,Y
LP001519,0,No,0,Graduate,No,10000,1666.0,225.0,8,1.0,0,N
LP001520,1,Yes,0,Graduate,No,4860,830.0,125.0,8,1.0,1,Y
LP001528,1,No,0,Graduate,No,6277,0.0,118.0,8,0.0,0,N
LP001529,1,Yes,0,Graduate,Yes,2577,3750.0,152.0,8,1.0,0,Y
LP001531,1,No,0,Graduate,No,9166,0.0,244.0,8,1.0,2,N
LP001532,1,Yes,2,Not Graduate,No,2281,0.0,113.0,8,1.0,0,N
LP001535,1,No,0,Graduate,No,3254,0.0,50.0,8,1.0,2,Y
LP001536,1,Yes,3+,Graduate,No,39999,0.0,600.0,5,0.0,1,Y
LP001541,1,Yes,1,Graduate,No,6000,0.0,160.0,8,1.0,0,Y
LP001543,1,Yes,1,Graduate,No,9538,0.0,187.0,8,1.0,2,Y
LP001546,1,No,0,Graduate,No,2980,2083.0,120.0,8,1.0,0,Y
LP001552,1,Yes,0,Graduate,No,4583,5625.0,255.0,8,1.0,1,Y
LP001560,1,Yes,0,Not Graduate,No,1863,1041.0,98.0,8,1.0,1,Y
LP001562,1,Yes,0,Graduate,No,7933,0.0,275.0,8,1.0,2,N
LP001565,1,Yes,1,Graduate,No,3089,1280.0,121.0,8,0.0,1,N
LP001570,1,Yes,2,Graduate,No,4167,1447.0,158.0,8,1.0,0,Y
LP001572,1,Yes,0,Graduate,No,9323,0.0,75.0,5,1.0,2,Y
LP001574,1,Yes,0,Graduate,No,3707,3166.0,182.0,8,1.0,0,Y
LP001577,0,Yes,0,Graduate,No,4583,0.0,112.0,8,1.0,0,N
LP001578,1,Yes,0,Graduate,No,2439,3333.0,129.0,8,1.0,0,Y
LP001579,1,No,0,Graduate,No,2237,0.0,63.0,9,0.0,1,N
LP001580,1,Yes,2,Graduate,No,8000,0.0,200.0,8,1.0,1,Y
LP001581,1,Yes,0,Not Graduate,No,1820,1769.0,95.0,8,1.0,0,Y
LP001585,1,Yes,3+,Graduate,No,51763,0.0,700.0,7,1.0,2,Y
LP001586,1,Yes,3+,Not Graduate,No,3522,0.0,81.0,5,1.0,0,N
LP001594,1,Yes,0,Graduate,No,5708,5625.0,187.0,8,1.0,1,Y
LP001603,1,Yes,0,Not Graduate,Yes,4344,736.0,87.0,8,1.0,1,N
LP001606,1,Yes,0,Graduate,No,3497,1964.0,116.0,8,1.0,0,Y
LP001608,1,Yes,2,Graduate,No,2045,1619.0,101.0,8,1.0,0,Y
LP001610,1,Yes,3+,Graduate,No,5516,11300.0,495.0,8,0.0,1,N
LP001616,1,Yes,1,Graduate,No,3750,0.0,116.0,8,1.0,1,Y
LP001630,1,No,0,Not Graduate,No,2333,1451.0,102.0,9,0.0,2,N
LP001633,1,Yes,1,Graduate,No,6400,7250.0,180.0,8,0.0,2,N
LP001634,1,No,0,Graduate,No,1916,5063.0,67.0,8,1.0,0,N
LP001636,1,Yes,0,Graduate,No,4600,0.0,73.0,5,1.0,1,Y
LP001637,1,Yes,1,Graduate,No,33846,0.0,260.0,8,1.0,1,N
LP001639,0,Yes,0,Graduate,No,3625,0.0,108.0,8,1.0,1,Y
LP001640,1,Yes,0,Graduate,Yes,39147,4750.0,120.0,8,1.0,1,Y
LP001641,1,Yes,1,Graduate,Yes,2178,0.0,66.0,7,0.0,0,N
LP001643,1,Yes,0,Graduate,No,2383,2138.0,58.0,8,1.0,0,Y
LP001644,1,Yes,0,Graduate,Yes,674,5296.0,168.0,8,1.0,0,Y
LP001647,1,Yes,0,Graduate,No,9328,0.0,188.0,5,1.0,0,Y
LP001653,1,No,0,Not Graduate,No,4885,0.0,48.0,8,1.0,0,Y
LP001656,1,No,0,Graduate,No,12000,0.0,164.0,8,1.0,1,N
LP001657,1,Yes,0,Not Graduate,No,6033,0.0,160.0,8,1.0,2,N
LP001658,1,No,0,Graduate,No,3858,0.0,76.0,8,1.0,1,Y
LP001664,1,No,0,Graduate,No,4191,0.0,120.0,8,1.0,0,Y
LP001665,1,Yes,1,Graduate,No,3125,2583.0,170.0,8,1.0,1,N
LP001666,1,No,0,Graduate,No,8333,3750.0,187.0,8,1.0,0,Y
LP001669,0,No,0,Not Graduate,No,1907,2365.0,120.0,8,1.0,2,Y
LP001671,0,Yes,0,Graduate,No,3416,2816.0,113.0,8,1.0,1,Y
LP001673,1,No,0,Graduate,Yes,11000,0.0,83.0,8,1.0,2,N
LP001674,1,Yes,1,Not Graduate,No,2600,2500.0,90.0,8,1.0,1,Y
LP001677,1,No,2,Graduate,No,4923,0.0,166.0,8,0.0,1,Y
LP001682,1,Yes,3+,Not Graduate,No,3992,0.0,128.0,5,1.0,2,N
LP001688,1,Yes,1,Not Graduate,No,3500,1083.0,135.0,8,1.0,2,Y
LP001691,1,Yes,2,Not Graduate,No,3917,0.0,124.0,8,1.0,1,Y
LP001692,0,No,0,Not Graduate,No,4408,0.0,120.0,8,1.0,1,Y
LP001693,0,No,0,Graduate,No,3244,0.0,80.0,8,1.0,2,Y
LP001698,1,No,0,Not Graduate,No,3975,2531.0,55.0,8,1.0,0,Y
LP001699,1,No,0,Graduate,No,2479,0.0,59.0,8,1.0,2,Y
LP001702,1,No,0,Graduate,No,3418,0.0,127.0,8,1.0,1,N
LP001708,0,No,0,Graduate,No,10000,0.0,214.0,8,1.0,1,N
LP001711,1,Yes,3+,Graduate,No,3430,1250.0,128.0,8,0.0,1,N
LP001713,1,Yes,1,Graduate,Yes,7787,0.0,240.0,8,1.0,2,Y
LP001715,1,Yes,3+,Not Graduate,Yes,5703,0.0,130.0,8,1.0,0,Y
LP001716,1,Yes,0,Graduate,No,3173,3021.0,137.0,8,1.0,2,Y
LP001720,1,Yes,3+,Not Graduate,No,3850,983.0,100.0,8,1.0,1,Y
LP001722,1,Yes,0,Graduate,No,150,1800.0,135.0,8,1.0,0,N
LP001726,1,Yes,0,Graduate,No,3727,1775.0,131.0,8,1.0,1,Y
LP001732,1,Yes,2,Graduate,No,5000,0.0,72.0,8,0.0,1,N
LP001734,0,Yes,2,Graduate,No,4283,2383.0,127.0,8,1.0,1,Y
LP001736,1,Yes,0,Graduate,No,2221,0.0,60.0,8,0.0,2,N
LP001743,1,Yes,2,Graduate,No,4009,1717.0,116.0,8,1.0,1,Y
LP001744,1,No,0,Graduate,No,2971,2791.0,144.0,8,1.0,1,Y
LP001749,1,Yes,0,Graduate,No,7578,1010.0,175.0,8,1.0,1,Y
LP001750,1,Yes,0,Graduate,No,6250,0.0,128.0,8,1.0,1,Y
LP001751,1,Yes,0,Graduate,No,3250,0.0,170.0,8,1.0,0,N
LP001754,1,Yes,0,Not Graduate,Yes,4735,0.0,138.0,8,1.0,2,N
LP001758,1,Yes,2,Graduate,No,6250,1695.0,210.0,8,1.0,1,Y
LP001760,1,Yes,0,Graduate,No,4758,0.0,158.0,9,1.0,1,Y
LP001761,1,No,0,Graduate,Yes,6400,0.0,200.0,8,1.0,0,Y
LP001765,1,Yes,1,Graduate,No,2491,2054.0,104.0,8,1.0,1,Y
LP001768,1,Yes,0,Graduate,No,3716,0.0,42.0,5,1.0,0,Y
LP001770,1,No,0,Not Graduate,No,3189,2598.0,120.0,8,1.0,0,Y
LP001776,0,No,0,Graduate,No,8333,0.0,280.0,8,1.0,1,Y
LP001778,1,Yes,1,Graduate,No,3155,1779.0,140.0,8,1.0,1,Y
LP001784,1,Yes,1,Graduate,No,5500,1260.0,170.0,8,1.0,0,Y
LP001786,1,Yes,0,Graduate,No,5746,0.0,255.0,8,1.0,2,N
LP001788,0,No,0,Graduate,Yes,3463,0.0,122.0,8,1.0,2,Y
LP001790,0,No,1,Graduate,No,3812,0.0,112.0,8,1.0,0,Y
LP001792,1,Yes,1,Graduate,No,3315,0.0,96.0,8,1.0,1,Y
LP001798,1,Yes,2,Graduate,No,5819,5000.0,120.0,8,1.0,0,Y
LP001800,1,Yes,1,Not Graduate,No,2510,1983.0,140.0,5,1.0,2,N
LP001806,1,No,0,Graduate,No,2965,5701.0,155.0,2,1.0,2,Y
LP001807,1,Yes,2,Graduate,Yes,6250,1300.0,108.0,8,1.0,0,Y
LP001811,1,Yes,0,Not Graduate,No,3406,4417.0,123.0,8,1.0,1,Y
LP001813,1,No,0,Graduate,Yes,6050,4333.0,120.0,5,1.0,2,N
LP001814,1,Yes,2,Graduate,No,9703,0.0,112.0,8,1.0,2,Y
LP001819,1,Yes,1,Not Graduate,No,6608,0.0,137.0,5,1.0,2,Y
LP001824,1,Yes,1,Graduate,No,2882,1843.0,123.0,9,1.0,1,Y
LP001825,1,Yes,0,Graduate,No,1809,1868.0,90.0,8,1.0,2,Y
LP001835,1,Yes,0,Not Graduate,No,1668,3890.0,201.0,8,0.0,1,N
LP001836,0,No,2,Graduate,No,3427,0.0,138.0,8,1.0,2,N
LP001841,1,No,0,Not Graduate,Yes,2583,2167.0,104.0,8,1.0,0,Y
LP001843,1,Yes,1,Not Graduate,No,2661,7101.0,279.0,5,1.0,1,Y
LP001844,1,No,0,Graduate,Yes,16250,0.0,192.0,8,0.0,2,N
LP001846,0,No,3+,Graduate,No,3083,0.0,255.0,8,1.0,0,Y
LP001849,1,No,0,Not Graduate,No,6045,0.0,115.0,8,0.0,0,N
LP001854,1,Yes,3+,Graduate,No,5250,0.0,94.0,8,1.0,2,N
LP001859,1,Yes,0,Graduate,No,14683,2100.0,304.0,8,1.0,0,N
LP001864,1,Yes,3+,Not Graduate,No,4931,0.0,128.0,8,1.0,1,N
LP001865,1,Yes,1,Graduate,No,6083,4250.0,330.0,8,1.0,2,Y
LP001868,1,No,0,Graduate,No,2060,2209.0,134.0,8,1.0,1,Y
LP001870,0,No,1,Graduate,No,3481,0.0,155.0,1,1.0,1,N
LP001871,0,No,0,Graduate,No,7200,0.0,120.0,8,1.0,0,Y
LP001872,1,No,0,Graduate,Yes,5166,0.0,128.0,8,1.0,1,Y
LP001875,1,No,0,Graduate,No,4095,3447.0,151.0,8,1.0,0,Y
LP001877,1,Yes,2,Graduate,No,4708,1387.0,150.0,8,1.0,1,Y
LP001882,1,Yes,3+,Graduate,No,4333,1811.0,160.0,8,0.0,2,Y
LP001883,0,No,0,Graduate,No,3418,0.0,135.0,8,1.0,0,N
LP001884,0,No,1,Graduate,No,2876,1560.0,90.0,8,1.0,2,Y
LP001888,0,No,0,Graduate,No,3237,0.0,30.0,8,1.0,2,Y
LP001891,1,Yes,0,Graduate,No,11146,0.0,136.0,8,1.0,2,Y
LP001892,1,No,0,Graduate,No,2833,1857.0,126.0,8,1.0,0,Y
LP001894,1,Yes,0,Graduate,No,2620,2223.0,150.0,8,1.0,1,Y
LP001896,1,Yes,2,Graduate,No,3900,0.0,90.0,8,1.0,1,Y
LP001900,1,Yes,1,Graduate,No,2750,1842.0,115.0,8,1.0,1,Y
LP001903,1,Yes,0,Graduate,No,3993,3274.0,207.0,8,1.0,1,Y
LP001904,1,Yes,0,Graduate,No,3103,1300.0,80.0,8,1.0,2,Y
LP001907,1,Yes,0,Graduate,No,14583,0.0,436.0,8,1.0,1,Y
LP001908,0,Yes,0,Not Graduate,No,4100,0.0,124.0,8,1.0,0,Y
LP001910,1,No,1,Not Graduate,Yes,4053,2426.0,158.0,8,0.0,2,N
LP001914,1,Yes,0,Graduate,No,3927,800.0,112.0,8,1.0,1,Y
LP001915,1,Yes,2,Graduate,No,2301,985.7999878,78.0,5,1.0,2,Y
LP001917,0,No,0,Graduate,No,1811,1666.0,54.0,8,1.0,2,Y
LP001922,1,Yes,0,Graduate,No,20667,0.0,128.0,8,1.0,0,N
LP001924,1,No,0,Graduate,No,3158,3053.0,89.0,8,1.0,0,Y
LP001925,0,No,0,Graduate,Yes,2600,1717.0,99.0,7,1.0,1,N
LP001926,1,Yes,0,Graduate,No,3704,2000.0,120.0,8,1.0,0,Y
LP001931,0,No,0,Graduate,No,4124,0.0,115.0,8,1.0,1,Y
LP001935,1,No,0,Graduate,No,9508,0.0,187.0,8,1.0,0,Y
LP001936,1,Yes,0,Graduate,No,3075,2416.0,139.0,8,1.0,0,Y
LP001938,1,Yes,2,Graduate,No,4400,0.0,127.0,8,0.0,1,N
LP001940,1,Yes,2,Graduate,No,3153,1560.0,134.0,8,1.0,2,Y
LP001945,0,No,0,Graduate,No,5417,0.0,143.0,9,0.0,2,N
LP001947,1,Yes,0,Graduate,No,2383,3334.0,172.0,8,1.0,1,Y
LP001949,1,Yes,3+,Graduate,No,4416,1250.0,110.0,8,1.0,2,Y
LP001953,1,Yes,1,Graduate,No,6875,0.0,200.0,8,1.0,1,Y
LP001954,0,Yes,1,Graduate,No,4666,0.0,135.0,8,1.0,2,Y
LP001955,0,No,0,Graduate,No,5000,2541.0,151.0,9,1.0,0,N
LP001963,1,Yes,1,Graduate,No,2014,2925.0,113.0,8,1.0,2,N
LP001964,1,Yes,0,Not Graduate,No,1800,2934.0,93.0,8,0.0,2,N
LP001972,1,Yes,0,Not Graduate,No,2875,1750.0,105.0,8,1.0,1,Y
LP001974,0,No,0,Graduate,No,5000,0.0,132.0,8,1.0,0,Y
LP001977,1,Yes,1,Graduate,No,1625,1803.0,96.0,8,1.0,2,Y
LP001978,1,No,0,Graduate,No,4000,2500.0,140.0,8,1.0,0,Y
LP001990,1,No,0,Not Graduate,No,2000,0.0,128.0,8,1.0,2,N
LP001993,0,No,0,Graduate,No,3762,1666.0,135.0,8,1.0,0,Y
LP001994,0,No,0,Graduate,No,2400,1863.0,104.0,8,0.0,2,N
LP001996,1,No,0,Graduate,No,20233,0.0,480.0,8,1.0,0,N
LP001998,1,Yes,2,Not Graduate,No,7667,0.0,185.0,8,1.0,0,Y
LP002002,0,No,0,Graduate,No,2917,0.0,84.0,8,1.0,1,Y
LP002004,1,No,0,Not Graduate,No,2927,2405.0,111.0,8,1.0,1,Y
LP002006,0,No,0,Graduate,No,2507,0.0,56.0,8,1.0,0,Y
LP002008,1,Yes,2,Graduate,Yes,5746,0.0,144.0,3,1.0,0,Y
LP002024,1,Yes,0,Graduate,No,2473,1843.0,159.0,8,1.0,0,N
LP002031,1,Yes,1,Not Graduate,No,3399,1640.0,111.0,5,1.0,2,Y
LP002035,1,Yes,2,Graduate,No,3717,0.0,120.0,8,1.0,1,Y
LP002036,1,Yes,0,Graduate,No,2058,2134.0,88.0,8,1.0,2,Y
LP002043,0,No,1,Graduate,No,3541,0.0,112.0,8,1.0,1,Y
LP002050,1,Yes,1,Graduate,Yes,10000,0.0,155.0,8,1.0,0,N
LP002051,1,Yes,0,Graduate,No,2400,2167.0,115.0,8,1.0,1,Y
LP002053,1,Yes,3+,Graduate,No,4342,189.0,124.0,8,1.0,1,Y
LP002054,1,Yes,2,Not Graduate,No,3601,1590.0,128.0,8,1.0,0,Y
LP002055,0,No,0,Graduate,No,3166,2985.0,132.0,8,1.0,0,Y
LP002065,1,Yes,3+,Graduate,No,15000,0.0,300.0,8,1.0,0,Y
LP002067,1,Yes,1,Graduate,Yes,8666,4983.0,376.0,8,0.0,0,N
LP002068,1,No,0,Graduate,No,4917,0.0,130.0,8,0.0,0,Y
